id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Sunset Drive,pop,relaxed,0.65,105,0.78,0.74,0.30
12,Deep Focus,LoRoom,lofi,focused,0.38,76,0.57,0.61,0.80
13,Thunder Road,Voltline,rock,intense,0.88,148,0.52,0.69,0.12
14,Quiet Corners,Paper Lanterns,lofi,chill,0.33,70,0.62,0.57,0.90
15,Cardio Rush,Max Pulse,pop,intense,0.95,135,0.75,0.90,0.07
16,Starlit Dreams,Orbit Bloom,ambient,chill,0.25,62,0.68,0.39,0.95
17,Blueberry Jazz,Slow Stereo,jazz,relaxed,0.40,92,0.73,0.56,0.87
18,Retro Night,Neon Echo,synthwave,moody,0.78,112,0.51,0.75,0.20
19,Brainstorm,LoRoom,lofi,focused,0.43,82,0.60,0.63,0.76
20,City Lights,Indigo Parade,indie pop,happy,0.79,120,0.83,0.80,0.33